Erdos_300_500_house_10_50_921.pickle,6,nan,nan,2,3,4,9,16,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_300_500_house_10_50_921.pickle,6,0.884,0,8,13,15,16,21,24,
Erdos_300_500_house_10_50_921.pickle,6,0.884,0.0,8,13,15,16,21,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_200_5_house_20_50_381.pickle,6,0.8,0,2,4,8,13,22,24,
Barabasi_200_5_house_20_50_381.pickle,6,0.8,0.0,2,4,8,13,22,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_100_750_house_15_50_546.pickle,6,0.914,0,9,13,16,18,22,23,
Erdos_100_750_house_15_50_546.pickle,6,0.914,0.0,9,13,16,18,22,23,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_200_500_path_15_50_728.pickle,6,0.927,0,4,9,11,14,19,22,
Erdos_200_500_path_15_50_728.pickle,6,0.927,0.0,4,9,11,14,19,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_100_250_house_15_50_506.pickle,6,0.771,0,3,8,13,15,19,21,
Erdos_100_250_house_15_50_506.pickle,6,0.771,0.0,3,8,13,15,19,21,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_100_3_grid_15_50_110.pickle,6,0.596,0,6,9,10,13,19,21,
Barabasi_100_3_grid_15_50_110.pickle,6,0.596,0.0,6,9,10,13,19,21,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_250_3_grid_10_50_405.pickle,6,0.882,0,5,6,8,10,13,21,
Barabasi_250_3_grid_10_50_405.pickle,6,0.882,0.0,5,6,8,10,13,21,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_50_10_house_15_50_46.pickle,6,0.64,0,0,4,6,9,12,18,
Barabasi_50_10_house_15_50_46.pickle,6,0.64,0.0,0,4,6,9,12,18,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_100_750_path_20_50_553.pickle,6,0.875,0,1,2,3,7,9,16,
Erdos_100_750_path_20_50_553.pickle,6,0.875,0.0,1,2,3,7,9,16,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_100_1250_grid_20_50_595.pickle,6,0.768,0,2,12,14,19,22,24,
Erdos_100_1250_grid_20_50_595.pickle,6,0.768,0.0,2,12,14,19,22,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_150_5_grid_15_50_280.pickle,6,0.719,0,1,5,15,22,23,24,
Barabasi_150_5_grid_15_50_280.pickle,6,0.719,0.0,1,5,15,22,23,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_300_500_star_10_50_922.pickle,6,0.91,0,13,15,16,17,21,22,
Erdos_300_500_star_10_50_922.pickle,6,0.91,0.0,13,15,16,17,21,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_50_20_house_15_50_86.pickle,6,0.52,0,0,3,6,8,10,15,
Barabasi_50_20_house_15_50_86.pickle,6,0.52,0.0,0,3,6,8,10,15,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_200_10_house_10_50_391.pickle,6,0.92,0,7,8,9,12,15,20,
Barabasi_200_10_house_10_50_391.pickle,6,0.92,0.0,7,8,9,12,15,20,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_200_250_grid_10_50_705.pickle,6,0.815,0,0,2,9,13,14,15,
Erdos_200_250_grid_10_50_705.pickle,6,0.815,0.0,0,2,9,13,14,15,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_50_20_grid_25_50_100.pickle,6,0.745,0,3,4,13,15,17,19,
Barabasi_50_20_grid_25_50_100.pickle,6,0.745,0.0,3,4,13,15,17,19,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_100_15_grid_20_50_175.pickle,6,0.893,0,5,12,13,17,20,24,
Barabasi_100_15_grid_20_50_175.pickle,6,0.893,0.0,5,12,13,17,20,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_200_250_house_25_50_716.pickle,6,0.839,0,5,6,12,16,20,24,
Erdos_200_250_house_25_50_716.pickle,6,0.839,0.0,5,6,12,16,20,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_200_250_house_20_50_711.pickle,6,0.845,0,1,7,11,13,15,16,
Erdos_200_250_house_20_50_711.pickle,6,0.845,0.0,1,7,11,13,15,16,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
